Title,Genre,Meta_Score,imdb_Rating,Box_Office,Rated,Studio,Release_Date,Poster_URL,Year,Category,Nominee,Won?,Seasons
Up,"Animation, Adventure, Comedy, Family",88,8.2,"$292,979,556 ",PG,Walt Disney Pictures,29-May-09,https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,2009 (82nd),Best Picture,Up,NO,Spring
Up in the Air,"Comedy, Drama, Romance",83,7.4,"$83,775,048 ",R,Paramount Pictures,23-Dec-09,https://m.media-amazon.com/images/M/MV5BMTI3MzYxMTA4NF5BMl5BanBnXkFtZTcwMDE4ODg3Mg@@._V1_SX300.jpg,2009 (82nd),Best Picture,Up in the Air,NO,Winter
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",70,7.8,"$127,490,802 ",PG-13,Paramount,25-Dec-08,https://m.media-amazon.com/images/M/MV5BNjQ0NTY2ODY2M15BMl5BanBnXkFtZTgwMjE4MzkxMDE@._V1_SX300.jpg,2008 (81st),Best Picture,The Curious Case of Benjamin Button,NO,Winter
Frost/Nixon,"Biography, Drama, History",80,7.7,"$18,600,000 ",R,Universal Pictures,23-Jan-09,https://m.media-amazon.com/images/M/MV5BOTY4NTU2NTU4NF5BMl5BanBnXkFtZTcwNjE0OTc5MQ@@._V1_SX300.jpg,2008 (81st),Best Picture,Frost/Nixon,NO,Winter
Milk,"Biography, Drama",84,7.6,"$31,716,847 ",R,Focus Features,30-Jan-09,https://m.media-amazon.com/images/M/MV5BMTI2OTM5NjUzMV5BMl5BanBnXkFtZTcwMzY1MTM5MQ@@._V1_SX300.jpg,2008 (81st),Best Picture,Milk,NO,Winter
The Reader,"Drama, Romance",58,7.6,"$34,111,418 ",R,The Weinstein Co./MGM,30-Jan-09,https://m.media-amazon.com/images/M/MV5BMTM0NDQxNjA0N15BMl5BanBnXkFtZTcwNDUwMzcwMg@@._V1_SX300.jpg,2008 (81st),Best Picture,The Reader,NO,Winter
Slumdog Millionaire,"Drama, Romance",86,8,"$141,243,551 ",R,Fox Searchlight Pictures,25-Dec-08,https://m.media-amazon.com/images/M/MV5BZmNjZWI3NzktYWI1Mi00OTAyLWJkNTYtMzUwYTFlZDA0Y2UwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,2008 (81st),Best Picture,Slumdog Millionaire,YES,Winter
Atonement,"Drama, Mystery, Romance, War",85,7.8,"$50,830,581 ",R,Focus Features,11-Jan-08,https://m.media-amazon.com/images/M/MV5BMGRiYjE0YzItMzk3Zi00ZmYwLWJjNDktYTAwYjIwMjIxYzM3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2007 (80th),Best Picture,Atonement,NO,Winter
Juno,"Comedy, Drama",81,7.5,"$143,380,890 ",PG-13,Fox Searchlight,25-Dec-07,https://m.media-amazon.com/images/M/MV5BMTIwMDgwODc5Nl5BMl5BanBnXkFtZTYwMjQzMDM4._V1_SX300.jpg,2007 (80th),Best Picture,Juno,NO,Winter
Michael Clayton,"Crime, Drama, Mystery, Thriller",82,7.3,"$48,976,323 ",R,Warner Bros. Pictures,12-Oct-07,https://m.media-amazon.com/images/M/MV5BMTc0NTU5MjI2MV5BMl5BanBnXkFtZTcwMTg5NTQzMw@@._V1_SX300.jpg,2007 (80th),Best Picture,Michael Clayton,NO,Fall
No Country for Old Men,"Crime, Drama, Thriller",91,8.1,"$74,223,625 ",R,Miramax Films,21-Nov-07,https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_SX300.jpg,2007 (80th),Best Picture,No Country for Old Men,YES,Fall
There Will Be Blood,Drama,93,8.2,"$40,133,435 ",R,Paramount Vantage,25-Jan-08,https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_SX300.jpg,2007 (80th),Best Picture,There Will Be Blood,NO,Winter
Babel,Drama,69,7.5,"$34,237,104 ",R,Paramount Classics,10-Nov-06,https://m.media-amazon.com/images/M/MV5BYTJkZDljNGYtNjRiNC00ZmY2LTg1NmItYTI1MTllNDQzMWVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2006 (79th),Best Picture,Babel,NO,Fall
The Departed,"Crime, Drama, Thriller",85,8.5,"$132,300,000 ",R,Warner Bros. Pictures,6-Oct-06,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,2006 (79th),Best Picture,The Departed,YES,Fall
Letters from Iwo Jima,"Drama, History, War",89,7.9,"$13,600,000 ",R,Warner Bros. Pictures,2-Feb-07,https://m.media-amazon.com/images/M/MV5BMjE0NzgwODI4M15BMl5BanBnXkFtZTcwNjg3OTA0MQ@@._V1_SX300.jpg,2006 (79th),Best Picture,Letters from Iwo Jima,NO,Winter
Little Miss Sunshine,"Comedy, Drama",80,7.8,"$59,831,476 ",R,Fox Searchlight,18-Aug-06,https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_SX300.jpg,2006 (79th),Best Picture,Little Miss Sunshine,NO,Summer
The Queen,"Biography, Drama, History",91,7.3,"$56,222,759 ",PG-13,Miramax Films,17-Nov-06,https://m.media-amazon.com/images/M/MV5BMTQ3NTMxODg1Ml5BMl5BanBnXkFtZTcwMjEyMjczMQ@@._V1_SX300.jpg,2006 (79th),Best Picture,The Queen,NO,Fall
Brokeback Mountain,"Drama, Romance",87,7.7,"$82,970,165 ",R,Focus Features,13-Jan-06,https://m.media-amazon.com/images/M/MV5BMTY5NTAzNTc1NF5BMl5BanBnXkFtZTYwNDY4MDc3._V1_SX300.jpg,2005 (78th),Best Picture,Brokeback Mountain,NO,Winter
Capote,"Biography, Crime, Drama, History",88,7.4,"$28,337,516 ",R,Sony Pictures Classics,3-Feb-06,https://m.media-amazon.com/images/M/MV5BMTczMzU0MjM1MV5BMl5BanBnXkFtZTcwMjczNzgyNA@@._V1_SX300.jpg,2005 (78th),Best Picture,Capote,NO,Winter
Crash,"Crime, Drama, Thriller",69,7.8,"$55,382,847 ",R,Lions Gate Films,6-May-05,https://m.media-amazon.com/images/M/MV5BOTk1OTA1MjIyNV5BMl5BanBnXkFtZTcwODQxMTkyMQ@@._V1_SX300.jpg,2005 (78th),Best Picture,Crash,YES,Spring
"Good Night, and Good Luck.","Biography, Drama, History",80,7.5,"$31,500,000 ",PG,Warner Independent Pictures,4-Nov-05,https://m.media-amazon.com/images/M/MV5BMTY0NzQ2NDg2Ml5BMl5BanBnXkFtZTYwMzcwOTY2._V1_SX300.jpg,2005 (78th),Best Picture,"Good Night, and Good Luck.",NO,Fall
Munich,"Drama, History, Thriller",74,7.6,"$47,379,090 ",R,Universal Pictures,6-Jan-06,https://m.media-amazon.com/images/M/MV5BMTcwNzYzMzMwMF5BMl5BanBnXkFtZTcwMzMzODczMQ@@._V1_SX300.jpg,2005 (78th),Best Picture,Munich,NO,Winter
The Aviator,"Biography, Drama",77,7.5,"$102,563,679 ",PG-13,Miramax,25-Dec-04,https://m.media-amazon.com/images/M/MV5BZTYzMjA2M2EtYmY1OC00ZWMxLThlY2YtZGI3MTQzOWM4YjE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2004 (77th),Best Picture,The Aviator,NO,Winter
Finding Neverland,"Biography, Drama, Family",67,7.7,,PG,Miramax Films,17-Dec-04,https://m.media-amazon.com/images/M/MV5BMTMxNzYzNzUzMV5BMl5BanBnXkFtZTYwNjcwMjE3._V1_SX300.jpg,2004 (77th),Best Picture,Finding Neverland,NO,Winter
Million Dollar Baby,"Drama, Sport",86,8.1,"$100,422,786 ",PG-13,Warner Bros. Pictures,28-Jan-05,https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_SX300.jpg,2004 (77th),Best Picture,Million Dollar Baby,YES,Winter
Ray,"Biography, Drama, Music",73,7.7,"$75,000,000 ",PG-13,Universal Pictures,29-Oct-04,https://m.media-amazon.com/images/M/MV5BMTQxNDQwNjQzOV5BMl5BanBnXkFtZTcwNTQxNDYyMQ@@._V1_SX300.jpg,2004 (77th),Best Picture,Ray,NO,Fall
Sideways,"Comedy, Drama, Romance",94,7.5,"$71,444,367 ",R,Fox Searchlight Pictures,21-Jan-05,https://m.media-amazon.com/images/M/MV5BMTU0Mjg3MzkxOV5BMl5BanBnXkFtZTYwNDU1OTY3._V1_SX300.jpg,2004 (77th),Best Picture,Sideways,NO,Winter
The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",94,8.9,"$364,000,000 ",PG-13,New Line Cinema,17-Dec-03,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,2003 (76th),Best Picture,The Lord of the Rings: The Return of the King,YES,Winter
Lost in Translation,Drama,89,7.8,"$44,566,004 ",R,Focus Features,3-Oct-03,https://m.media-amazon.com/images/M/MV5BMTI2NDI5ODk4N15BMl5BanBnXkFtZTYwMTI3NTE3._V1_SX300.jpg,2003 (76th),Best Picture,Lost in Translation,NO,Fall
Master and Commander: The Far Side of the World,"Action, Adventure, Drama, History, War",81,7.4,"$92,100,000 ",PG-13,20th Century Fox,14-Nov-03,https://m.media-amazon.com/images/M/MV5BMjA5NjYyMDM5NV5BMl5BanBnXkFtZTYwOTU5MDY2._V1_SX300.jpg,2003 (76th),Best Picture,Master and Commander: The Far Side of the World,NO,Fall
Mystic River,"Crime, Drama, Mystery, Thriller",84,8,"$88,800,000 ",R,WB,15-Oct-03,https://m.media-amazon.com/images/M/MV5BMTIzNDUyMjA4MV5BMl5BanBnXkFtZTYwNDc4ODM3._V1_SX300.jpg,2003 (76th),Best Picture,Mystic River,NO,Fall
Seabiscuit,"Drama, History, Sport",72,7.3,"$120,147,445 ",PG-13,Universal Pictures,25-Jul-03,https://m.media-amazon.com/images/M/MV5BMWVmMmE1YzItNGUyZS00MzgwLWFhNzYtYjM4ZTJmZDVjNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2003 (76th),Best Picture,Seabiscuit,NO,Summer
Chicago,"Comedy, Crime, Musical",82,7.2,,PG-13,Miramax Films,24-Jan-03,https://m.media-amazon.com/images/M/MV5BN2E3NDU1ZTktNzZjNy00MWU3LWI4YmMtMjdjNTIzMDU0MDdiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2002 (75th),Best Picture,Chicago,YES,Winter
Gangs of New York,"Crime, Drama",72,7.5,"$77,605,296 ",R,Miramax Films,20-Dec-02,https://m.media-amazon.com/images/M/MV5BNDg3MmI1ZDYtMDZjYi00ZWRlLTk4NzEtZjY4Y2U0NjE5YmRiXkEyXkFqcGdeQXVyNzAxMjE1NDg@._V1_SX300.jpg,2002 (75th),Best Picture,Gangs of New York,NO,Winter
The Hours,"Drama, Romance",80,7.6,"$41,465,765 ",PG-13,Miramax Films,14-Feb-03,https://m.media-amazon.com/images/M/MV5BMTY4MDQyNjM2OF5BMl5BanBnXkFtZTcwMjQxOTAzMw@@._V1_SX300.jpg,2002 (75th),Best Picture,The Hours,NO,Winter
The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",87,8.7,"$339,700,000 ",PG,New Line Cinema,18-Dec-02,https://m.media-amazon.com/images/M/MV5BNGE5MzIyNTAtNWFlMC00NDA2LWJiMjItMjc4Yjg1OWM5NzhhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,2002 (75th),Best Picture,The Lord of the Rings: The Two Towers,NO,Winter
The Pianist,"Biography, Drama, Music, War",85,8.5,"$32,519,322 ",R,Focus Features,28-Mar-03,https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,2002 (75th),Best Picture,The Pianist,NO,Spring
A Beautiful Mind,"Biography, Drama",72,8.2,,PG-13,Universal Pictures,4-Jan-02,https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2001 (74th),Best Picture,A Beautiful Mind,YES,Winter
Gosford Park,"Comedy, Drama, Mystery",90,7.3,"$41,274,328 ",R,USA Films,18-Jan-02,https://m.media-amazon.com/images/M/MV5BYzM4YzlhZGMtYTI2Yi00OTY4LWE0MzctNDFlYTQ3YmFlOTBjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2001 (74th),Best Picture,Gosford Park,NO,Winter
In the Bedroom,"Crime, Drama",86,7.4,"$35,733,119 ",R,Miramax Films,8-Feb-02,https://m.media-amazon.com/images/M/MV5BYzQ3ZjhlMWItNGRmNS00OWQzLWJhYjEtMjA3NWIxNmZhNTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2001 (74th),Best Picture,In the Bedroom,NO,Winter
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",92,8.8,"$314,000,000 ",PG-13,New Line Cinema,19-Dec-01,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,2001 (74th),Best Picture,The Lord of the Rings: The Fellowship of the Ring,NO,Winter
Moulin Rouge,"Biography, Drama, Music, Romance",,7.1,,Not Rated,MGM Home Entertainment,10-Apr-53,https://m.media-amazon.com/images/M/MV5BMjYwNjllODAtZTFmYi00YmJjLWJmM2UtNjk1MjQ4MzBhYjViL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,2001 (74th),Best Picture,Moulin Rouge,NO,Spring
Moulin Rouge,"Biography, Drama, Music, Romance",,7.1,,Not Rated,MGM Home Entertainment,10-Apr-53,https://m.media-amazon.com/images/M/MV5BMjYwNjllODAtZTFmYi00YmJjLWJmM2UtNjk1MjQ4MzBhYjViL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,1952 (25th),Best Picture,Moulin Rouge,NO,Spring
Moulin Rouge,"Biography, Drama, Music, Romance",,7.1,,Not Rated,MGM Home Entertainment,10-Apr-53,https://m.media-amazon.com/images/M/MV5BMjYwNjllODAtZTFmYi00YmJjLWJmM2UtNjk1MjQ4MzBhYjViL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,2001 (74th),Best Picture,Moulin Rouge,NO,Spring
Moulin Rouge,"Biography, Drama, Music, Romance",,7.1,,Not Rated,MGM Home Entertainment,10-Apr-53,https://m.media-amazon.com/images/M/MV5BMjYwNjllODAtZTFmYi00YmJjLWJmM2UtNjk1MjQ4MzBhYjViL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,1952 (25th),Best Picture,Moulin Rouge,NO,Spring
Chocolat,"Drama, Romance",64,7.3,,PG-13,Miramax,19-Jan-01,https://m.media-amazon.com/images/M/MV5BYWYwMjMxZWQtMzQ3OS00YWNhLThkNDItYTk4NDdhZDE4ZTEzXkEyXkFqcGdeQXVyODU5MDg5OTY@._V1_SX300.jpg,2000 (73rd),Best Picture,Chocolat,NO,Winter
"Crouching Tiger, Hidden Dragon","Action, Adventure, Fantasy, Romance",93,7.9,,PG-13,Sony Pictures Classics,12-Jan-01,https://m.media-amazon.com/images/M/MV5BNDdhMzMxOTctNDMyNS00NTZmLTljNWEtNTc4MDBmZTYxY2NmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,2000 (73rd),Best Picture,"Crouching Tiger, Hidden Dragon",NO,Winter
Erin Brockovich,"Biography, Drama",73,7.3,,R,Universal Pictures,17-Mar-00,https://m.media-amazon.com/images/M/MV5BYTA1NWRkNTktNDMxNS00NjE4LWEzMDAtNzA3YzlhYzRhNDA4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2000 (73rd),Best Picture,Erin Brockovich,NO,Spring
Gladiator,"Action, Adventure, Drama",67,8.5,,R,Dreamworks Distribution LLC,5-May-00,https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,2000 (73rd),Best Picture,Gladiator,YES,Spring
Traffic,"Crime, Drama, Thriller",86,7.6,"$123,836,420 ",R,USA Films,5-Jan-01,https://m.media-amazon.com/images/M/MV5BNDA2YjNkMjEtZjcwNy00ZTc5LWEzNDItMjE0ODlmMDAzNDFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2000 (73rd),Best Picture,Traffic,NO,Winter
American Beauty,Drama,86,8.4,,R,Dreamworks,1-Oct-99,https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,1999 (72nd),Best Picture,American Beauty,YES,Fall
The Cider House Rules,"Drama, Romance",75,7.4,,PG-13,Miramax,7-Jan-00,https://m.media-amazon.com/images/M/MV5BNmY5YzA4OTQtOTQzZS00NDZmLTlhNzQtNzk5NTIyZWE2ZjVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1999 (72nd),Best Picture,The Cider House Rules,NO,Winter
The Green Mile,"Crime, Drama, Fantasy, Mystery",61,8.6,,R,Warner Bros. Pictures,10-Dec-99,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX300.jpg,1999 (72nd),Best Picture,The Green Mile,NO,Winter
The Insider,"Biography, Drama, Thriller",84,7.9,,R,Buena Vista Pictures,5-Nov-99,https://m.media-amazon.com/images/M/MV5BODg0YjAzNDQtOGFkMi00Yzk2LTg1NzYtYTNjY2UwZTM2ZDdkL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1999 (72nd),Best Picture,The Insider,NO,Fall
The Sixth Sense,"Drama, Mystery, Thriller",64,8.1,,PG-13,Hollywood/Buena Vista,6-Aug-99,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1999 (72nd),Best Picture,The Sixth Sense,NO,Summer
Elizabeth,"Biography, Drama, History",75,7.5,,R,Gramercy,19-Feb-99,https://m.media-amazon.com/images/M/MV5BNWM4NmYwNTYtZDJhNS00YTIwLWJhNjAtNzAxNTEzMzAxN2ZiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1998 (71st),Best Picture,Elizabeth,NO,Winter
Life Is Beautiful,"Comedy, Drama, Romance, War",59,8.6,,PG-13,Miramax,12-Feb-99,https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1998 (71st),Best Picture,Life Is Beautiful,NO,Winter
Saving Private Ryan,"Drama, War",91,8.6,,R,Paramount Pictures,24-Jul-98,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,1998 (71st),Best Picture,Saving Private Ryan,NO,Summer
Shakespeare in Love,"Comedy, Drama, History, Romance",87,7.1,,R,Miramax,8-Jan-99,https://m.media-amazon.com/images/M/MV5BM2ZkNjM5MjEtNTBlMC00OTI5LTgyYmEtZDljMzNmNzhiNzY0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,1998 (71st),Best Picture,Shakespeare in Love,YES,Winter
The Thin Red Line,"Drama, War",78,7.6,,R,20th Century Fox,15-Jan-99,https://m.media-amazon.com/images/M/MV5BYjEzMTM2NjAtNWFmZC00MTVlLTgyMmQtMGQyNTFjZDk5N2NmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg,1998 (71st),Best Picture,The Thin Red Line,NO,Winter
As Good as It Gets,"Comedy, Drama, Romance",67,7.7,,PG-13,TriStar Pictures,25-Dec-97,https://m.media-amazon.com/images/M/MV5BNWMxZTgzMWEtMTU0Zi00NDc5LWFkZjctMzUxNDIyNzZiMmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1997 (70th),Best Picture,As Good as It Gets,NO,Winter
The Full Monty,"Comedy, Drama",75,7.2,,R,Twentieth Century Fox Home Entertainment,19-Sep-97,https://m.media-amazon.com/images/M/MV5BODg0NWFjMTAtNGZjMC00NmZlLThhZDYtM2MzNTU2NDZiZDVmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,1997 (70th),Best Picture,The Full Monty,NO,Fall
