Title,Genre,Meta_Score,imdb_Rating,Box_Office,Rated,Studio,Release_Date,Poster_URL
Up,"Animation, Adventure, Comedy, Family",88,8.2,"$292,979,556",PG,Walt Disney Pictures,29 May 2009,https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg
Up in the Air,"Comedy, Drama, Romance",83,7.4,"$83,775,048",R,Paramount Pictures,23 Dec 2009,https://m.media-amazon.com/images/M/MV5BMTI3MzYxMTA4NF5BMl5BanBnXkFtZTcwMDE4ODg3Mg@@._V1_SX300.jpg
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",70,7.8,"$127,490,802",PG-13,Paramount,25 Dec 2008,https://m.media-amazon.com/images/M/MV5BNjQ0NTY2ODY2M15BMl5BanBnXkFtZTgwMjE4MzkxMDE@._V1_SX300.jpg
Frost/Nixon,"Biography, Drama, History",80,7.7,"$18,600,000",R,Universal Pictures,23 Jan 2009,https://m.media-amazon.com/images/M/MV5BOTY4NTU2NTU4NF5BMl5BanBnXkFtZTcwNjE0OTc5MQ@@._V1_SX300.jpg
Milk,"Biography, Drama",84,7.6,"$31,716,847",R,Focus Features,30 Jan 2009,https://m.media-amazon.com/images/M/MV5BMTI2OTM5NjUzMV5BMl5BanBnXkFtZTcwMzY1MTM5MQ@@._V1_SX300.jpg
The Reader,"Drama, Romance",58,7.6,"$34,111,418",R,The Weinstein Co./MGM,30 Jan 2009,https://m.media-amazon.com/images/M/MV5BMTM0NDQxNjA0N15BMl5BanBnXkFtZTcwNDUwMzcwMg@@._V1_SX300.jpg
Slumdog Millionaire,"Drama, Romance",86,8.0,"$141,243,551",R,Fox Searchlight Pictures,25 Dec 2008,https://m.media-amazon.com/images/M/MV5BZmNjZWI3NzktYWI1Mi00OTAyLWJkNTYtMzUwYTFlZDA0Y2UwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Atonement,"Drama, Mystery, Romance, War",85,7.8,"$50,830,581",R,Focus Features,11 Jan 2008,https://m.media-amazon.com/images/M/MV5BMGRiYjE0YzItMzk3Zi00ZmYwLWJjNDktYTAwYjIwMjIxYzM3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Juno,"Comedy, Drama",81,7.5,"$143,380,890",PG-13,Fox Searchlight,25 Dec 2007,https://m.media-amazon.com/images/M/MV5BMTIwMDgwODc5Nl5BMl5BanBnXkFtZTYwMjQzMDM4._V1_SX300.jpg
Michael Clayton,"Crime, Drama, Mystery, Thriller",82,7.3,"$48,976,323",R,Warner Bros. Pictures,12 Oct 2007,https://m.media-amazon.com/images/M/MV5BMTc0NTU5MjI2MV5BMl5BanBnXkFtZTcwMTg5NTQzMw@@._V1_SX300.jpg
No Country for Old Men,"Crime, Drama, Thriller",91,8.1,"$74,223,625",R,Miramax Films,21 Nov 2007,https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_SX300.jpg
There Will Be Blood,Drama,93,8.2,"$40,133,435",R,Paramount Vantage,25 Jan 2008,https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_SX300.jpg
Babel,Drama,69,7.5,"$34,237,104",R,Paramount Classics,10 Nov 2006,https://m.media-amazon.com/images/M/MV5BYTJkZDljNGYtNjRiNC00ZmY2LTg1NmItYTI1MTllNDQzMWVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
The Departed,"Crime, Drama, Thriller",85,8.5,"$132,300,000",R,Warner Bros. Pictures,06 Oct 2006,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg
Letters from Iwo Jima,"Drama, History, War",89,7.9,"$13,600,000",R,Warner Bros. Pictures,02 Feb 2007,https://m.media-amazon.com/images/M/MV5BMjE0NzgwODI4M15BMl5BanBnXkFtZTcwNjg3OTA0MQ@@._V1_SX300.jpg
Little Miss Sunshine,"Comedy, Drama",80,7.8,"$59,831,476",R,Fox Searchlight,18 Aug 2006,https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_SX300.jpg
The Queen,"Biography, Drama, History",91,7.3,"$56,222,759",PG-13,Miramax Films,17 Nov 2006,https://m.media-amazon.com/images/M/MV5BMTQ3NTMxODg1Ml5BMl5BanBnXkFtZTcwMjEyMjczMQ@@._V1_SX300.jpg
Brokeback Mountain,"Drama, Romance",87,7.7,"$82,970,165",R,Focus Features,13 Jan 2006,https://m.media-amazon.com/images/M/MV5BMTY5NTAzNTc1NF5BMl5BanBnXkFtZTYwNDY4MDc3._V1_SX300.jpg
Capote,"Biography, Crime, Drama, History",88,7.4,"$28,337,516",R,Sony Pictures Classics,03 Feb 2006,https://m.media-amazon.com/images/M/MV5BMTczMzU0MjM1MV5BMl5BanBnXkFtZTcwMjczNzgyNA@@._V1_SX300.jpg
Crash,"Crime, Drama, Thriller",69,7.8,"$55,382,847",R,Lions Gate Films,06 May 2005,https://m.media-amazon.com/images/M/MV5BOTk1OTA1MjIyNV5BMl5BanBnXkFtZTcwODQxMTkyMQ@@._V1_SX300.jpg
"Good Night, and Good Luck.","Biography, Drama, History",80,7.5,"$31,500,000",PG,Warner Independent Pictures,04 Nov 2005,https://m.media-amazon.com/images/M/MV5BMTY0NzQ2NDg2Ml5BMl5BanBnXkFtZTYwMzcwOTY2._V1_SX300.jpg
Munich,"Drama, History, Thriller",74,7.6,"$47,379,090",R,Universal Pictures,06 Jan 2006,https://m.media-amazon.com/images/M/MV5BMTcwNzYzMzMwMF5BMl5BanBnXkFtZTcwMzMzODczMQ@@._V1_SX300.jpg
The Aviator,"Biography, Drama",77,7.5,"$102,563,679",PG-13,Miramax,25 Dec 2004,https://m.media-amazon.com/images/M/MV5BZTYzMjA2M2EtYmY1OC00ZWMxLThlY2YtZGI3MTQzOWM4YjE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Finding Neverland,"Biography, Drama, Family",67,7.7,N/A,PG,Miramax Films,17 Dec 2004,https://m.media-amazon.com/images/M/MV5BMTMxNzYzNzUzMV5BMl5BanBnXkFtZTYwNjcwMjE3._V1_SX300.jpg
Million Dollar Baby,"Drama, Sport",86,8.1,"$100,422,786",PG-13,Warner Bros. Pictures,28 Jan 2005,https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_SX300.jpg
Ray,"Biography, Drama, Music",73,7.7,"$75,000,000",PG-13,Universal Pictures,29 Oct 2004,https://m.media-amazon.com/images/M/MV5BMTQxNDQwNjQzOV5BMl5BanBnXkFtZTcwNTQxNDYyMQ@@._V1_SX300.jpg
Sideways,"Comedy, Drama, Romance",94,7.5,"$71,444,367",R,Fox Searchlight Pictures,21 Jan 2005,https://m.media-amazon.com/images/M/MV5BMTU0Mjg3MzkxOV5BMl5BanBnXkFtZTYwNDU1OTY3._V1_SX300.jpg
The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",94,8.9,"$364,000,000",PG-13,New Line Cinema,17 Dec 2003,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Lost in Translation,Drama,89,7.8,"$44,566,004",R,Focus Features,03 Oct 2003,https://m.media-amazon.com/images/M/MV5BMTI2NDI5ODk4N15BMl5BanBnXkFtZTYwMTI3NTE3._V1_SX300.jpg
Master and Commander: The Far Side of the World,"Action, Adventure, Drama, History, War",81,7.4,"$92,100,000",PG-13,20th Century Fox,14 Nov 2003,https://m.media-amazon.com/images/M/MV5BMjA5NjYyMDM5NV5BMl5BanBnXkFtZTYwOTU5MDY2._V1_SX300.jpg
Mystic River,"Crime, Drama, Mystery, Thriller",84,8.0,"$88,800,000",R,WB,15 Oct 2003,https://m.media-amazon.com/images/M/MV5BMTIzNDUyMjA4MV5BMl5BanBnXkFtZTYwNDc4ODM3._V1_SX300.jpg
Seabiscuit,"Drama, History, Sport",72,7.3,"$120,147,445",PG-13,Universal Pictures,25 Jul 2003,https://m.media-amazon.com/images/M/MV5BMWVmMmE1YzItNGUyZS00MzgwLWFhNzYtYjM4ZTJmZDVjNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Chicago,"Comedy, Crime, Musical",82,7.2,N/A,PG-13,Miramax Films,24 Jan 2003,https://m.media-amazon.com/images/M/MV5BN2E3NDU1ZTktNzZjNy00MWU3LWI4YmMtMjdjNTIzMDU0MDdiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Gangs of New York,"Crime, Drama",72,7.5,"$77,605,296",R,Miramax Films,20 Dec 2002,https://m.media-amazon.com/images/M/MV5BNDg3MmI1ZDYtMDZjYi00ZWRlLTk4NzEtZjY4Y2U0NjE5YmRiXkEyXkFqcGdeQXVyNzAxMjE1NDg@._V1_SX300.jpg
The Hours,"Drama, Romance",80,7.6,"$41,465,765",PG-13,Miramax Films,14 Feb 2003,https://m.media-amazon.com/images/M/MV5BMTY4MDQyNjM2OF5BMl5BanBnXkFtZTcwMjQxOTAzMw@@._V1_SX300.jpg
The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",87,8.7,"$339,700,000",PG,New Line Cinema,18 Dec 2002,https://m.media-amazon.com/images/M/MV5BNGE5MzIyNTAtNWFlMC00NDA2LWJiMjItMjc4Yjg1OWM5NzhhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
The Pianist,"Biography, Drama, Music, War",85,8.5,"$32,519,322",R,Focus Features,28 Mar 2003,https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
A Beautiful Mind,"Biography, Drama",72,8.2,N/A,PG-13,Universal Pictures,04 Jan 2002,https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Gosford Park,"Comedy, Drama, Mystery",90,7.3,"$41,274,328",R,USA Films,18 Jan 2002,https://m.media-amazon.com/images/M/MV5BYzM4YzlhZGMtYTI2Yi00OTY4LWE0MzctNDFlYTQ3YmFlOTBjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
In the Bedroom,"Crime, Drama",86,7.4,"$35,733,119",R,Miramax Films,08 Feb 2002,https://m.media-amazon.com/images/M/MV5BYzQ3ZjhlMWItNGRmNS00OWQzLWJhYjEtMjA3NWIxNmZhNTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",92,8.8,"$314,000,000",PG-13,New Line Cinema,19 Dec 2001,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg
Moulin Rouge,"Biography, Drama, Music, Romance",N/A,7.1,N/A,Not Rated,MGM Home Entertainment,10 Apr 1953,https://m.media-amazon.com/images/M/MV5BMjYwNjllODAtZTFmYi00YmJjLWJmM2UtNjk1MjQ4MzBhYjViL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
Chocolat,"Drama, Romance",64,7.3,N/A,PG-13,Miramax,19 Jan 2001,https://m.media-amazon.com/images/M/MV5BYWYwMjMxZWQtMzQ3OS00YWNhLThkNDItYTk4NDdhZDE4ZTEzXkEyXkFqcGdeQXVyODU5MDg5OTY@._V1_SX300.jpg
"Crouching Tiger, Hidden Dragon","Action, Adventure, Fantasy, Romance",93,7.9,N/A,PG-13,Sony Pictures Classics,12 Jan 2001,https://m.media-amazon.com/images/M/MV5BNDdhMzMxOTctNDMyNS00NTZmLTljNWEtNTc4MDBmZTYxY2NmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Erin Brockovich,"Biography, Drama",73,7.3,N/A,R,Universal Pictures,17 Mar 2000,https://m.media-amazon.com/images/M/MV5BYTA1NWRkNTktNDMxNS00NjE4LWEzMDAtNzA3YzlhYzRhNDA4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Gladiator,"Action, Adventure, Drama",67,8.5,N/A,R,Dreamworks Distribution LLC,05 May 2000,https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Traffic,"Crime, Drama, Thriller",86,7.6,"$123,836,420",R,USA Films,05 Jan 2001,https://m.media-amazon.com/images/M/MV5BNDA2YjNkMjEtZjcwNy00ZTc5LWEzNDItMjE0ODlmMDAzNDFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
American Beauty,Drama,86,8.4,N/A,R,Dreamworks,01 Oct 1999,https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
The Cider House Rules,"Drama, Romance",75,7.4,N/A,PG-13,Miramax,07 Jan 2000,https://m.media-amazon.com/images/M/MV5BNmY5YzA4OTQtOTQzZS00NDZmLTlhNzQtNzk5NTIyZWE2ZjVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Green Mile,"Crime, Drama, Fantasy, Mystery",61,8.6,N/A,R,Warner Bros. Pictures,10 Dec 1999,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX300.jpg
The Insider,"Biography, Drama, Thriller",84,7.9,N/A,R,Buena Vista Pictures,05 Nov 1999,https://m.media-amazon.com/images/M/MV5BODg0YjAzNDQtOGFkMi00Yzk2LTg1NzYtYTNjY2UwZTM2ZDdkL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Sixth Sense,"Drama, Mystery, Thriller",64,8.1,N/A,PG-13,Hollywood/Buena Vista,06 Aug 1999,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Elizabeth,"Biography, Drama, History",75,7.5,N/A,R,Gramercy,19 Feb 1999,https://m.media-amazon.com/images/M/MV5BNWM4NmYwNTYtZDJhNS00YTIwLWJhNjAtNzAxNTEzMzAxN2ZiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Life Is Beautiful,"Comedy, Drama, Romance, War",59,8.6,N/A,PG-13,Miramax,12 Feb 1999,https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Saving Private Ryan,"Drama, War",91,8.6,N/A,R,Paramount Pictures,24 Jul 1998,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg
Shakespeare in Love,"Comedy, Drama, History, Romance",87,7.1,N/A,R,Miramax,08 Jan 1999,https://m.media-amazon.com/images/M/MV5BM2ZkNjM5MjEtNTBlMC00OTI5LTgyYmEtZDljMzNmNzhiNzY0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg
The Thin Red Line,"Drama, War",78,7.6,N/A,R,20th Century Fox,15 Jan 1999,https://m.media-amazon.com/images/M/MV5BYjEzMTM2NjAtNWFmZC00MTVlLTgyMmQtMGQyNTFjZDk5N2NmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg
As Good as It Gets,"Comedy, Drama, Romance",67,7.7,N/A,PG-13,TriStar Pictures,25 Dec 1997,https://m.media-amazon.com/images/M/MV5BNWMxZTgzMWEtMTU0Zi00NDc5LWFkZjctMzUxNDIyNzZiMmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Full Monty,"Comedy, Drama",75,7.2,N/A,R,Twentieth Century Fox Home Entertainment,19 Sep 1997,https://m.media-amazon.com/images/M/MV5BODg0NWFjMTAtNGZjMC00NmZlLThhZDYtM2MzNTU2NDZiZDVmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
Good Will Hunting,"Drama, Romance",70,8.3,N/A,R,Miramax Films,09 Jan 1998,https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
L.A. Confidential,"Crime, Drama, Mystery, Thriller",90,8.3,N/A,R,Warner Bros. Pictures,19 Sep 1997,https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Titanic,"Drama, Romance",75,7.8,N/A,PG-13,Paramount Pictures,19 Dec 1997,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
The English Patient,"Drama, Romance, War",87,7.4,N/A,R,Miramax Films,06 Dec 1996,https://m.media-amazon.com/images/M/MV5BOTkxZTdkNTQtM2QwOS00NzRlLWEyMGItYTcxOTE4NTgyNGVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Fargo,"Crime, Drama, Thriller",85,8.1,N/A,R,MGM,05 Apr 1996,https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Jerry Maguire,"Comedy, Drama, Romance, Sport",77,7.3,N/A,R,TriStar Pictures,13 Dec 1996,https://m.media-amazon.com/images/M/MV5BYTM0ZWNmZTUtOTVkZS00MTZiLTg3M2QtZjA0Y2RmOWM1NWEyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Secrets & Lies,Drama,91,8.0,N/A,R,Twentieth Century Fox Home Entertainment,28 Feb 1997,https://m.media-amazon.com/images/M/MV5BY2QzMTIxNjItNGQyNy00MjQzLWJiYTItMzIyZjdkYjYyYjRlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Shine,"Biography, Drama, Music, Romance",87,7.7,N/A,PG-13,New Line Home Entertainment,14 Feb 1997,https://m.media-amazon.com/images/M/MV5BMTQzMzcxMzUyMl5BMl5BanBnXkFtZTgwNDI1MjgxMTE@._V1_SX300.jpg
Apollo 13,"Adventure, Drama, History",77,7.6,N/A,PG,Universal Pictures,30 Jun 1995,https://m.media-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Babe,"Comedy, Drama, Family",83,6.8,N/A,G,Universal Pictures,04 Aug 1995,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
Braveheart,"Biography, Drama, History, War",68,8.4,N/A,R,Paramount Pictures,24 May 1995,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
The Postman (Il Postino),"Biography, Comedy, Drama, Romance",81,7.7,N/A,PG,Penta Film,22 Mar 1996,https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg
Sense and Sensibility,"Drama, Romance",84,7.7,N/A,PG,Columbia Pictures,26 Jan 1996,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg
Forrest Gump,"Drama, Romance",82,8.8,"$330,000,000",PG-13,Paramount Pictures,06 Jul 1994,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Four Weddings and a Funeral,"Comedy, Drama, Romance",81,7.1,N/A,R,Gramercy Pictures,15 Apr 1994,https://m.media-amazon.com/images/M/MV5BMTMyNzg2NzgxNV5BMl5BanBnXkFtZTcwMTcxNzczNA@@._V1_SX300.jpg
Pulp Fiction,"Crime, Drama",94,8.9,N/A,R,Miramax Films,14 Oct 1994,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Quiz Show,"Biography, Drama, History",88,7.5,N/A,PG-13,Buena Vista Internationa,07 Oct 1994,https://m.media-amazon.com/images/M/MV5BNTYxNjdjMzUtYzAyNC00NWJhLWFlM2EtNWM4NDBhZmQ1YjJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
The Shawshank Redemption,Drama,80,9.3,N/A,R,Columbia Pictures,14 Oct 1994,https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
